batch_size,sample_size,input_tokens_mean,input_tokens_std,input_tokens_min,input_tokens_max,output_tokens_mean,output_tokens_std,output_tokens_min,output_tokens_max,ttft_mean,ttft_std,ttft_min,ttft_max,tpot_mean,tpot_std,tpot_min,tpot_max,latency_mean,latency_std,latency_min,latency_max,tps_mean,tps_std,tps_min,tps_max,rps_mean,rps_std,rps_min,rps_max
1,50,40.28,7.57,27.0,52.0,928.12,170.87,624.0,1540.0,92.48,15.04,80.45,191.0,10.79,0.88,9.67,15.0,10169.16,2571.74,6401.55,23180.41,92.31,6.46,66.44,102.41,0.1,0.02,0.04,0.16
2,50,40.28,7.57,27.0,52.0,914.28,151.2,596.0,1438.0,142.25,8.91,134.57,177.68,11.49,0.65,10.23,12.79,10661.77,1917.57,6849.11,17613.27,86.07,4.76,77.42,96.43,0.1,0.02,0.06,0.15
4,50,40.28,7.57,27.0,52.0,917.74,162.79,635.0,1441.0,184.8,31.18,107.77,247.83,12.94,0.85,10.92,14.99,12031.82,2062.99,8650.31,18534.44,76.36,5.05,66.0,90.57,0.09,0.01,0.05,0.12
8,50,40.28,7.57,27.0,52.0,934.54,141.95,674.0,1445.0,378.67,800.53,154.8,5903.59,16.89,1.48,11.25,18.96,16088.13,2290.43,10484.12,21661.99,58.38,6.61,45.96,87.82,0.06,0.01,0.05,0.1
